Cat  #,Name    ,    Rx1,    Tx1, CTCSS, ArmCTCSS,    Rx2,    Tx2,    Rx3,    Tx3,APRS Config
43017U,AO-91   ,145.960,435.250,     67,       0,      0,      0,145.960,      0,
61781U,AO-123  ,435.400,145.850,     67,       0,      0,      0,436.210,      0,
40931U,IO-86   ,435.880,145.880,   88.5,       0,      0,      0,437.425,      0,
25544U,ISS     ,437.800,145.990,     67,       0,145.825,145.825,145.800,      0,RS0ISS
40908U,LilacSat,437.200,144.350,      0,       0,      0,      0,437.200,      0,
62461U,POEM 4  ,145.870,      0,      0,       0,145.825,145.825,145.870,      0,
43678U,PO-101  ,145.900,437.500,  141.3,       0,      0,      0,145.900,      0,
27607U,SO-50   ,436.795,145.850,     67,    74.4,      0,      0,436.795,      0,
62690U,SO-124  ,436.885,145.925,      0,       0,      0,      0,436.885,      0,
59112U,SONATE-2,145.880,      0,      0,       0,145.825,145.825,145.840,      0,DP0SNX
57172U,UmKA-1  ,437.625,      0,      0,       0,      0,      0,437.625,      0,
25544U,ISS-SSTV,437.550,      0,      0,       0,      0,      0,      0,      0,RS0ISS
63218U,TEVEL2-3,436.400,145.970,      0,       0,      0,      0,      0,      0,
63238U,TEVEL2-7,436.400,145.970,      0,       0,      0,      0,      0,      0,
63492U,SO-125  ,436.795,145.850,      0,       0,      0,      0,      0,      0,
63492U,SO-125-T,436.795,145.850,     67,       0,      0,      0,      0,      0,
61762U,RS74S   ,455.890,      0,      0,       0,      0,      0,455.890,      0,
